sku,title,author_or_publisher,price,stock
9789768245298,An Advance Students’ Guide to Edward Baugh's Poetry,S. J. Woodburn,2195.0,0
9789766482633,An Easy Approach to Composition Book 1,Cheryl Brandshaw,3000.0,1
9789766482640,An Easy Approach to Composition Book 2,Cheryl Brandshaw,3000.0,2
9789766482657,An Easy Approach to Composition Book 3,Cheryl Brandshaw,3000.0,1
9789766482664,An Easy Approach to Composition Book 4,Cherryl Brandshaw,3000.0,1
9789766482701,An Easy Approach to Composition Infant 1&2,Cheryl Brandshaw,2760.0,1
9781408519998,Anansi,Alistair Campbell,3633.0,3
9780582434479,Animal Farm,George Orwell,4955.0,5
9781471875076,Answers to The Illustrated First Aid in English Book,Angus Maciver,2540.0,1
9789766108519,Assessment Tests in Numeracy Skills Grade 4,Dave L. Kelly,3800.0,14
9781398307742,Aunt Jen,Paulette Ramsay,3640.0,7
9789768245960,¡Necesario! Pre-CSEC Spanish Practice Paper for the Caribbean Grades 7-9 Teacher's Edition: A Three-Year Workbook,Andre C. Bruff,4395.0,1
9789768245847,¡Necesario! Pre-CSEC Spanish Practice Paper II for the Caribbean Grades 7-9 Student's Edition: A Three-Year Workbook,Andre C. Bruff,5195.0,1
9789766461102,¿Cual Es? Student's Book Second Ed,J.A. Ovid / D.L. Doodnath,5210.0,1
9780435215170,Bad Girls in School,Gwyneth Harold,3640.0,1
9781927395127,"Basic Book: Animals, Colour & Write",,1500.0,8
9781927395646,Basic Book: Leap into Letters,,1500.0,6
9781927395660,Basic Book: Leap into Numerals,,1500.0,5
9781927395141,"Basic Book: Numbers, Colour & Count",,1500.0,3
9781927395264,Basic Book: Science Readiness,,1500.0,13
9781927395134,"Basic Book: Shapes, Colour & Trace",,1500.0,7
9789766481940,Basic Electricity and Electronics A Complete Course for CSEC Volume 1,M. Halls,9860.0,1
9789766481957,Basic Electricity and Electronics A Complete Course for CSEC Volume 2,M. Halls,9860.0,1
9781398340473,Beka Lamb with CSEC Study Notes,Zee Edgell,3640.0,1
BIBOOF-4399,Big Book of Writing Prompts,,2900.0,0
9789766481308,Biology for CSEC,Raphael Ramlal/ Koh Hsing Dee/ Anne Chua,9600.0,0
9789766484392,Biology Lab Manual for CXC/CSEC School Based Assessment,C. Churaman,5600.0,1
9789769630871,Biology Made Easy for CSEC Students: SBA Component Included,Farial M. Ali,5250.0,1
9780582093478,Biology Skills for Excellence,C. Carrington / M. Agard / L. Sealy,3130.0,1
9780175663866,Bite in 1,Cecil Gray,3785.0,2
9780175663873,Bite in 2,Cecil Gray,3936.0,3
9781546169772,BOB BOOKS- BEGINNING PHONICS WBK,,1800.0,0
9781338226782,BOB BOOKS-EMERGING READERS WBK K,,2500.0,0
9781405095983,Bright Ideas: Caribbean Primary Science (Student's Book K - Ages 4-5) (Bright Ideas: Macmillan Primary Science),David & Penny Glover,1613.0,2
9781405096072,Bright Ideas: Caribbean Primary Science (Workbook 5),David Glover / Penny Glover,2572.0,7
9781405097390,Bright Ideas: Caribbean Primary Science Workbook K,David & Penny Glover,1127.5,1
9780230448667,Bright Ideas: Jamaica Primary Science (Student's Book 4),David Glover / Penny Glover,4087.0,2
9780230443976,Bright Ideas: Jamaica Primary Science (Workbook 4),David & Penny Glover,2572.0,2
9789766551117,Building Reasoning Skills For The PEP Ability Test Grade 6,Urelda Brown Waugh,3255.0,21
9789766480424,CAPE Accounts,T B Teck/AG J Wee/S W L Eng/O Chan/ R Sinanan,10800.0,1
9789766485597,CAPE Communication Studies (3rd Edition),DR Harold McDermott,10800.0,1
9789766481926,CAPE Economics Unit 1 Comprehension Economics for Caribbean Students 2nd Edition,Edward Bahaw,7680.0,1
9789766481933,CAPE Economics Unit 2 Comprehension Economics for Caribbean Students  2nd Edition,Edward Bahaw,7680.0,1
9789769550414,CAPE Fundamentals in Entrepreneurship Unit 1,N. Maharaj,4400.0,1
9789769550445,CAPE Fundamentals in Entrepreneurship Unit 2,N. Maharaj,4400.0,1
9789769543119,CAPE Literatures in English Drama Module,DR Harold McDermott,8960.0,1
9789766483012,CAPE Literatures in English Poetry Module,DR Harold McDermott,8960.0,1
9789766481070,CAPE Management Of Business Unit 1,Siddique Barkarr,10320.0,1
9789766483937,Cape Mathematics Made Simple Unit 1,Viiay Mahabir,10800.0,1
9789766483234,Cape Mathematics Made Simple Unit 2,Vijay Mahabir,10800.0,0
9789766485153,CAPE New Integrated Geography Unit 1,Sheldon G. Bleasdell,10320.0,1
9789766483241,CAPE New Integrated Geography Unit 2,Sheldon G. Bleasdell,10320.0,1
9780230428652,Caribbean Bright Sparks Primary Mathematics Second Edition Student's Book 2,Laurie Sealy / Sandra Moore,1737.0,12
9780230429086,Caribbean Bright Sparks Primary Mathematics Second Edition Student's Book 4,Laurie Sealy / Sandra Moore,3057.0,1
9780230429109,Caribbean Bright Sparks Primary Mathematics Second Edition Student's Book 5,Laurie Sealy / Sandra Moore,2051.0,2
9780230401198,Caribbean Bright Sparks Primary Mathematics Second Edition Workbook 4,David Glover / Penny Glover,2118.0,2
9780230401228,Caribbean Bright Sparks Primary Mathematics Second Edition Workbook 5,Laurie Sealy / Sandra Moore,2118.0,2
9780230401259,Caribbean Bright Sparks Primary Mathematics Second Edition Workbook 6,Laurie Sealy / Sandra Moore,1063.0,2
9789766480868,Caribbean Environmental Geography for Lower Secondary School,Vohn A.M. Rahil,6360.0,9
9781408205938,Caribbean History: Foundation 4th Edition Book 1,William Claypole,6670.0,1
9781408205945,Caribbean History: Independence 4th Edition Book 2,William Claypole,6670.0,2
9781398369092,Caribbean Home Economics in Action Book 1 4th Edition,Caribbean Association of Home Economics,5420.0,1
9781398369115,Caribbean Home Economics in Action Book 2 4th Edition,Caribbean Association of Home Economics,5420.0,1
9781398369139,Caribbean Home Economics in Action Book 3 4th Edition,Caribbean Association of Home Economics,5420.0,1
9789768172053,Caribbean Integrated Music Book 1,Karen Headlam Cyrus,1900.0,1
9789766481544,Caribbean Integrated Readers Book 1,B. Ninah & K. Ninali,2660.0,7
9789766482336,Caribbean Integrated Readers Book 2,B. Ninah & K. Ninah,2660.0,1
9789766482305,Caribbean Integrated Readers Book 3,B. Ninah & K. Ninah,4360.0,7
9789766482350,Caribbean Integrated Readers Book 4,B. Ninah & K. Ninah,5200.0,6
9789766482367,Caribbean Integrated Readers Book 5,B. Ninah & K. Ninah,5200.0,4
9789766483715,Caribbean Integrated Readers Infant Book 1,B. Ninah G. Harry,3100.0,1
9789766484040,Caribbean Integrated Readers Infant Book 2,B. Ninah G. Harry,3100.0,1
9789766481551,Caribbean Integrated Readers Workbook 1,B. Ninah & K. Ninah,2600.0,8
9789766482343,Caribbean Integrated Readers Workbook 2,B. Ninah & K. Ninah,2600.0,2
9789766482312,Caribbean Integrated Readers Workbook 3,B. Ninah & K. Ninah,2600.0,1
9789766482329,Caribbean Integrated Readers Workbook 4,B. Ninah & K. Ninah,2800.0,1
9789766482374,Caribbean Integrated Readers Workbook 5,B. Ninah & K. Ninah,2800.0,5
9789766483777,Caribbean Integrated Readers Workbook Infant 1,B. Ninah G. Harry,2400.0,1
9789766484057,Caribbean Integrated Readers Workbook Infant 2,B. Ninah G. Harry,2400.0,1
9781510434660,"Caribbean School Atlas For Social Studies, Geography & History",Morrisey,3130.0,12
9781510460188,Caribbean School Atlas Skills Workbook,Michael Morrisey,2125.0,1
9781408230459,Caribbean School Hymn Book,,2499.0,20
9789766380885,Carlong Communication Task: An Integrated Approach,Sheila Gallow et al,2000.0,8
9789766381042,"Carlong Economics for CSEC with SBA, Study Guides and Exercises",K. Robinson et al,4800.0,1
9789766382353,Carlong English A for CSEC with Study Guide & Exercises,Keith Noel et al,4800.0,1
9789766383244,Carlong English B for CSEC 4th Edition,Keith Noel et al,4250.0,1
9789766381912,Carlong First Step in Science Year 4,V. McClenan et al,3700.0,16
9789766381967,Carlong First Step in Science Year 5,V. McClenan et al,3700.0,16
9789766382292,Carlong First Step in Science Year 6,V. McClenan et al,3700.0,4
INCO-7810,Carlong Infant Colouring,Nemeica McFarlane,1950.0,3
9789766382315,Carlong Practice Papers Language Arts PEP,Dorothy Noel,3000.0,29
9789766382322,Carlong Practice Papers Mathematics PEP,Delores O'Connor,3000.0,14
9789766382339,Carlong Practice Papers Science PEP,Sonia Williams,3000.0,9
9789766382346,Carlong Practice Papers Social Studies PEP,Phyllis Reynolds,3000.0,14
9789766382544,Carlong Primary Integrated Studies: In My Community Year 2 Term 3,Vilma McLenan et al,2400.0,16
9789766382490,Carlong Primary Integrated Studies: Knowing About Me Year 1 Term 1,Vilma McLenan et al,2300.0,16
9789766382520,Carlong Primary Integrated Studies: Learning About and Caring for My Body Year 2 Term 1,Vilma McLenan et al,2300.0,5
9789766382513,Carlong Primary Integrated Studies: Learning About My School Year 1 Term 3,Vilma McLenan et al,2300.0,19
9789766382575,Carlong Primary Integrated Studies: Learning About Our Culture Year 3 Term 2B,Vilma McLenan et al,2100.0,17
9789766382582,Carlong Primary Integrated Studies: Learning About Our Environment Year 3 Term 3,Vilma McLenan et al,2200.0,26
9789766382537,Carlong Primary Integrated Studies: Living Together Year 2 Term 2,Vilma McLenan et al,2500.0,12
9789766382506,Carlong Primary Integrated Studies: My Family and My Home Year 1 Term 2,Vilma McLenan et al,2300.0,13
9789766382568,Carlong Primary Integrated Studies: Relating to Others 3 Term 2A,Vilma McLenan et al,2400.0,11
9789766382551,Carlong Primary Integrated Studies: Taking Care of My Body and My Needs Year 3 Term 1,Vilma McLenan et al,2300.0,5
9789766381035,Carlong Primary Religious Education Year 4,E.Sherman et al,2200.0,5
9789766381134,Carlong Primary Religious Education Year 5 & 6,Y.Miller-Wisdom et al,2800.0,10
9789766382117,Carlong Primary Social Studies Year 4,D. Bryan-Campbell,3400.0,47
9789766382179,Carlong Primary Social Studies Year 5,D. Bryan-Campbell,3400.0,9
9789766382285,Carlong Primary Social Studies Year 6,D. Bryan-Campbell,3400.0,6
9789766381028,"Carlong Principles of Accounts for CSEC with SBA, Study Guides and Exercises",John Tracey et al,4600.0,1
9789766383213,Carlong Principles of Business for CSEC 2nd Edition,K.Robinson et al,6400.0,1
9789766380212,Carlong Revision Guide For Junior English 2nd Edition,K.Noel et al,3500.0,5
9789766380908,Carlong Revision Guide: Junior Mathematics,Solomon-Nelson,3500.0,4
9789766380984,Carlong Revision Guide: Junior Science,Paulette Chedda,3500.0,30
9789766380069,Carlong Third Year Assessment Test Reasoning & Problem Solving,H. Bennett,2000.0,0
9789766382230,Carlong: Mathematics for Caribbean Examinations,Conrad Archie,4600.0,5
9781732836921,Cheetah Primary Exit Profile (PEP) Math Practice Questions Grade 6 Volume 2,Ornella Bell / Nadine Brown,3200.0,3
9789768235251,Chemistry A Revision Guide For CSEC,"R. Maharaj, D.Wilson",5420.0,0
9789766485573,Chemistry Explained,Joanne Nazir,8520.0,1
9789766484910,Chemistry for CAPE,Susan Maraj/ Arnold Samai,12200.0,1
9781447952206,Chemistry for CSEC New Edition,C. Remy et al,8715.0,1
9789766484446,Chemistry Lab Manual for CSEC,Judith Beharry,5200.0,1
9780582853195,Chevere! Activity Book 1,Bankay et al,2155.0,2
9780582853201,Chevere! Activity Book 2,Bankay et al,2155.0,0
9780582853218,Chevere! Activity Book 3,Bankay et al,2155.0,1
9780582853225,Chevere! Activity Book 4,Bankay et al,2155.0,1
9781405895842,Chevere! Student's Book 1,Bankay et al,5200.0,0
9781405895853,Chevere! Student's Book 2,Bankay et al,5200.0,0
9780582853171,Chevere! Student's Book 3,Bankay et al,5200.0,1
9780582853188,Chevere! Student's Book 4,Bankay et al,5200.0,0
9780435215194,Children of the Sea,D. Franklyn,3670.0,0
9780435984823,Chispas 1 Second Edition,Martin at al,3575.0,1
9781510478862,Chispas 2 Second Edition,Martin at al,3575.0,1
9781510478886,Chispas 3 Second Edition,Martin at al,3575.0,1
9781510475960,Chispas 4 Second Edition,Martin at al,3575.0,0
9780435984861,Chispas Workbook Level 3,Martin at al,1690.0,1
9781510478909,Chispas Workbook Level 4,Martin at al,1690.0,1
9780003300093,Chron of Narnia: Lion Witch & Wardrobe,,3000.0,1
9789768202390,Civics for Barbados,,1595.0,1
9780582258723,Cloud in My Sky,Sheila Williams,2925.0,0
9780008208134,Collins Biology Workbook for CSEC,Anne Tindale,2385.0,0
9780008276423,Collins Caribbean Student Dictionary,,2470.0,5
COCODI-4549,Collins Concise Dictionary,,5990.0,0
9780008157876,Collins Concise Revision Course CSEC Biology,Anne Tinedale,3572.0,3
9780008157883,Collins Concise Revision Course CSEC Chemistry,Anne Tinedale,3572.0,1
9780008208134,Collins Concise Revision Course CSEC English A,Mike Gould,3572.0,2
9780008541620,Collins Concise Revision Course CSEC Human and Social Biology,,3572.0,1
978-0-00-865463-4,Collins Concise Revision Course CSEC Mathematics,Raphael Johnson,3572.0,0
9780008157890,Collins Concise Revision Course CSEC Physics,Peter Defreitas,3572.0,3
9780008768447,Collins Concise Revision Course SEC Integrated Science,Anne Tindale / Peter DeFreitas,3572.0,1
978-0-00-736980-5,COLLINS CONCISE SPANISH DICTIONARY,,7370.0,0
978-0-00-866705-4,Collins CSEC  Social Studies,,6250.0,0
9780008432003,Collins CSEC Biology,Anne Tinedale,6170.0,1
978-0-00-811601-9,Collins CSEC BIOLOGY WBK,,2350.0,0
978-0-00-811602-6,Collins CSEC CHEMISTRY WBK,,2350.0,0
9780008116033,Collins CSEC Chemistry Workbook,Terry David,2385.0,1
978-0-00-841126-8,Collins CSEC French WB,,2100.0,0
978-0-00-842013-0,Collins CSEC GEO ATLAS SKILLS WB,,2830.0,0
9780008431983,Collins CSEC Human & Social Biology,Anne Tinedale,6170.0,1
9780008304461,Collins CSEC Mathematics,Raphael Johnson,6170.0,1
9780008431976,Collins CSEC Physics - A practice multiple choice questions,Peter DeFreitas,6170.0,1
978-0-00-811603-3,Collins CSEC PHYSICS WBK		978-0-00-811601-9,,2350.0,0
978-0-00-866705,Collins CSEC R Social Studies,,4650.0,0
9780008301576,Collins CSEC Spanish Workbook,,2750.0,0
9780008695194,Collins Easy Learning French Dictionary,,2608.0,1
978-0-00-811951-5,COLLINS EASY LEARNING MANDARIN CHINESE DICTIONARY,,3240.0,0
9780008695200,Collins Easy Learning Spanish Dictionary,,2600.0,0
9780008141806,Collins English Dictionary Pocket Edition,,2150.0,0
978-0-00-820676-5,Collins First Dictionary Age 5+,,2150.0,0
9780008206765,Collins First School Dictionary,,2200.0,0
978-0-00-831272-5,COLLINS FIRST SPANISH DICTIONARY 5+,,1800.0,0
9780008241384,Collins French Dictionary & Grammar,,3250.0,0
9780008183622,Collins French Dictionary Pocket Edition,,2350.0,0
978-0-00-842017-8,Collins Geography for the Caribbean,,4141.0,0
978-0-00-821905-5,Collins Jamaica Dictionary,,2050.0,0
9780008219055,Collins Jamaican School Dictionary,,2200.0,13
9780008399382,Collins Jamaican Student Dictionary,,2470.0,4
9780008212377,Collins Math Dictionary,,2200.0,6
COMADI-6306,COLLINS MATHS DICTINARY AGE 7+,,2200.0,0
9780007457908,Collins Mental Maths 6-7,,1596.0,1
9780008116033,Collins Physics Workbook for CSEC,Terry David,2472.0,15
9780008141790,Collins Pocket English Dictionary & Thesaurus,,2350.0,0
9780008205102,Collins Practice Multiple Choice Questions Cape Chemistry,Jacqueline Marshall,2248.0,1
9789766481100,Collins Practice Multiple Choice Questions CSEC Principles of Accounts,Lennox Francis,4400.0,3
9789769530096,Collins Practice Multiple Choice Questions CSEC Principles of Business,"Carl Herrera, Sheree Bandoo , tevon La Rose & Sherma Noriega",4400.0,0
9780008206789,Collins Primary Dictionary,,2500.0,6
9780008298678,Collins Social Studies Atlas for Jamaica,,2988.0,1
9780008361730,Collins Social Studies Atlas for Jamaica Secondary Workbook,,2150.0,2
978-0-00-841398-9,Collins Social Studies Atlas for Jamaica Student book,,4400.0,0
9780008300241,Collins Social Studies Atlas for Jamaica Workbook,,2150.0,1
9780008413996,Collins Social Studies Workbook 7,,1800.0,1
9780008414009,Collins Social Studies Workbook 8,,1800.0,1
9780008414016,Collins Social Studies Workbook 9,,1800.0,1
9780008241391,Collins Spanish Dictionary & Grammar,,3250.0,0
9780008183653,Collins Spanish Dictionary Pocket Edition,,2350.0,0
9780008241971,Collins Spell Like A Champion,,2500.0,19
9780008214326,Collins Student Atlas for the Caribbean,,4200.0,10
978-0-00-839962-7,COLLINS TWELFTH NIGHT FOR CSEC,,3135.0,0
9789768237545,Colouring The Smart Way,"M. McLean, L. Fearon",1420.0,6
09676102872,Come Back Old Iron Blue,,3395.0,1
9789768237972,Come Let Us Read - An Infant Integrated Reader (Age 5),"M. McLean, L. Fearon",2520.0,12
9780748794737,Communication Tasks for GSAT,Adrian Mandara / Nelson Thornes,1629.0,8
9789769528383,Communication Tasks for GSAT Examination Grade 4-6,Shawn Johnson,1200.0,5
9789766481384,Complete Course in Creative Writing,B. Ninah / K. Ninah,3800.0,1
9789814091237,Composition & Comprehension 1,Harvey Gangadeen,2760.0,1
9789814091244,Composition & Comprehension 2,Harvey Gangadeen,2760.0,1
9789814091220,Composition & Comprehension 3,Harvey Gangadeen,2760.0,1
9789814091251,Composition & Comprehension 4,Harvey Gangadeen,3200.0,1
9789814091268,Composition & Comprehension 5,Harvey Gangadeen,3200.0,8
9789766460037,Composition Practice Book 1,"Alphonso Dow, Lorrain Powell",1600.0,0
9789766460044,Composition Practice Book 2,"Alphonso Dow, Lorrain Powell",1600.0,1
9789766460051,Composition Practice Book 3,"Alphonso Dow, Lorrain Powell",1600.0,1
9789766460068,Composition Practice Book 4,"Alphonso Dow, Lorrain Powell",1600.0,1
9789766460075,Composition Practice Book 5,"Alphonso Dow, Lorrain Powell",1600.0,1
9789768285133,Comprehension Made Simple Level 3,Vidya Maharaj,2600.0,10
COSKFO-6113,Comprehension Skills for the Caribbean Book 1 - Common Entrance Level,Roy Narinesingh,2925.0,1
9780602225186,Comprehension Skills for the Caribbean Book 2 - Common Entrance Level,Roy Narinesingh,2900.0,5
COSKFO-2405,Comprehension Skills for the Caribbean Book 3 - Common Entrance Level,Roy Narinesingh,2925.0,1
9780602226268,Comprehension Skills for the Caribbean Book 4 - Common Entrance Level,Roy Narinesingh,2925.0,1
9789766460655,Comprehensive CXC French,"K. Simmonds, H. Simmonds",5250.0,0
9789766570781,Computer Science for Cape Units 1 &2,,5495.0,1
COSCFO-5702,Computer Science for Primary Schools Book 2,Marion Bramwell,3360.0,0
9780199403783,Computer Whiz: An Introduction to Computers For Grade 1 Third Edition,Sameena Haidermota,1744.0,11
9780199400478,Computer Whiz: An Introduction to Computers For Grade 2 Third Edition,Sameena Haidermota,1744.0,25
9780199400485,Computer Whiz: An Introduction to Computers For Grade 3 Third Edition,Sameena Haidermota,1744.0,26
9780199400492,Computer Whiz: An Introduction to Computers For Grade 4 Third Edition,Sameena Haidermota,1744.0,21
9780199400508,Computer Whiz: An Introduction to Computers For Grade 5 Third Edition,Sameena Haidermota,1744.0,20
COWHAN-5664,Computer Whiz: Introductory for Pre-Primary Third Edition,,1297.0,0
COINAB-8112,Concepts In Ability Test For Grade Five,Courtney D. Harrison,4400.0,4
COINAB-8145,Concepts In Ability Test For Grade Four,Courtney D. Harrison,3400.0,2
COINAB-1368,Concepts In Ability Test For Grade One,Courtney D. Harrison,3400.0,5
COINAB-0099,Concepts In Ability Test For Grade Six,Courtney D. Harrison,4000.0,4
COINAB-2961,Concepts In Ability Test For Grade Three,Courtney D. Harrison,3400.0,6
COINAB-0217,Concepts In Ability Test For Grade Two,Courtney D. Harrison,3400.0,6
COINAB-4458,Concepts In Ability Test For Kindergarten One,Courtney D. Harrison,2800.0,17
COINAB-4566,Concepts In Ability Test For Kindergarten Two,Courtney D. Harrison,3200.0,10
9789769545519,Concepts In Mathematics For The Grade 4 Numeracy Test,Courtney D. Harrison,4000.0,1
CRJAOU-2231,Creating Jamaica: Our Early Years,June Cezair Wallace et al,3600.0,1
9789766481834,Creative Writing for Primary Levels Book 1 - New Edition,Meena Newaskar/ Angela Leu,3320.0,2
9789766481841,Creative Writing for Primary Levels Book 2 - New Edition,Meena Newaskar/ Angela Leu,3320.0,1
9789766481858,Creative Writing for Primary Levels Book 3 - New Edition,Benjamin Lee/ Angela Leu,3320.0,5
9789766481865,Creative Writing for Primary Levels Book 4 - New Edition,Benjamin Lee/ Angela Leu,3320.0,1
9789766481872,Creative Writing for Primary Levels Book 5 - New Edition,Benjamin Lee/ Angela Leu,3320.0,3
9789768235343,"Creative Writing Foundations and Models - Grade 1, Infants 1 and 2",J. Gangoo,2780.0,4
9789768235350,Creative Writing Foundations and Models - Grade 2 (Standard 1),J. Gangoo,2780.0,1
9789768235367,Creative Writing Foundations and Models - Grade 3 (Standard 2),J. Gangoo,2920.0,1
9789768235374,Creative Writing Foundations and Models - Grade 4 (Standard 3),J. Gangoo,2980.0,15
9789768235299,Creative Writing Foundations and Models - Grades 5 and 6 (Standards 4 and 5),J. Gangoo,3750.0,0
CRCRMO-0115,Crick Crack Monkey,Merle Hodges,3515.0,1
CRINTH-4161,Cricket in the Road & Other Stories,M. Anthony,3640.0,1
CSBIEX-9086,CSEC Biology Examination Practice,P. Brandfield et al,7445.0,1
9789766481315,CSEC Chemistry,Susan Maraj/ Low Siew Hsien,10280.0,1
CSCHEX-0340,CSEC Chemistry Examination Practice,Keane Campbell et al,3130.0,1
9789769616608,CSEC English A Handbook with SBA Guide,Andrea Brown-Hill,3000.0,3
9781471879074,CSEC Human & Social Biology Examination Practice,Joanna George-Johnson,4910.0,0
CSINSC-0505,CSEC Integrated Science - The Revision Guide,Ann Fullick et al,3610.0,1
CSENA-1146,CSEC Revision Guide: English A,C. Remy et al,3545.0,1
9781786325686,CSEC Revision Guide: Integrated Science,Terry Hudson,2700.0,1
